scen,country,period,gini,region,dgini_edu,dgini_eduspend,gini_nomig,relgini,worldregion,reldif
SSP1,ABW,2010,0.492780875,533,,,0.492780875,0.0,LAC,0.0
SSP1,AFG,2010,0.338,4,,,0.338,0.0,ASIA,0.0
SSP1,AGO,2010,0.4872,24,,,0.4872,0.0,AFR,0.0
SSP1,ALB,2010,0.29215,8,,,0.29215,0.0,EUR,0.0
SSP1,ARE,2010,0.414804506,784,,,0.414804506,0.0,ASIA,0.0
SSP1,ARG,2010,0.4357,32,,,0.4357,0.0,LAC,0.0
SSP1,ARM,2010,0.3132,51,,,0.3132,0.0,EUR,0.0
SSP1,AUS,2010,0.3494,36,,,0.3494,0.0,OCE,0.0
SSP1,AUT,2010,0.26106634,40,,,0.26106634,0.0,EUR,0.0
SSP1,AZE,2010,0.1664,31,,,0.1664,0.0,ASIA,0.0
SSP1,BDI,2010,0.3936,108,,,0.3936,0.0,AFR,0.0
SSP1,BEL,2010,0.27500149,56,,,0.27500149,0.0,EUR,0.0
SSP1,BEN,2010,0.4944,204,,,0.4944,0.0,AFR,0.0
SSP1,BFA,2010,0.4576,854,,,0.4576,0.0,AFR,0.0
SSP1,BGD,2010,0.3798,50,,,0.3798,0.0,ASIA,0.0
SSP1,BGR,2010,0.36457249,100,,,0.36457249,0.0,EUR,0.0
SSP1,BHR,2010,0.414804506,48,,,0.414804506,0.0,ASIA,0.0
SSP1,BHS,2010,0.43,44,,,0.43,0.0,LAC,0.0
SSP1,BIH,2010,0.3304,70,,,0.3304,0.0,EUR,0.0
SSP1,BLR,2010,0.36966496,112,,,0.36966496,0.0,EUR,0.0
SSP1,BLZ,2010,0.5326,84,,,0.5326,0.0,LAC,0.0
SSP1,BOL,2010,0.54783241,68,,,0.54783241,0.0,LAC,0.0
SSP1,BRA,2010,0.57863876,76,,,0.57863876,0.0,LAC,0.0
SSP1,BRB,2010,0.47,52,,,0.47,0.0,LAC,0.0
SSP1,BRN,2010,0.453184598,96,,,0.453184598,0.0,ASIA,0.0
SSP1,BTN,2010,0.44538,64,,,0.44538,0.0,ASIA,0.0
SSP1,BWA,2010,0.6646,72,,,0.6646,0.0,AFR,0.0
SSP1,CAF,2010,0.6224,140,,,0.6224,0.0,AFR,0.0
SSP1,CAN,2010,0.28814909,124,,,0.28814909,0.0,NOA,0.0
SSP1,CHE,2010,0.3183,756,,,0.3183,0.0,EUR,0.0
SSP1,CHL,2010,0.55181377,152,,,0.55181377,0.0,LAC,0.0
SSP1,CHN,2010,0.4656221,156,,,0.4656221,0.0,ASIA,0.0
SSP1,CIV,2010,0.4918,384,,,0.4918,0.0,AFR,0.0
SSP1,CMR,2010,0.4882,120,,,0.4882,0.0,AFR,0.0
SSP1,COD,2010,0.4836375,180,,,0.4836375,0.0,AFR,0.0
SSP1,COG,2010,0.4616,178,,,0.4616,0.0,AFR,0.0
SSP1,COL,2010,0.54926247,170,,,0.54926247,0.0,LAC,0.0
SSP1,COM,2010,0.6193,174,,,0.6193,0.0,AFR,0.0
SSP1,CPV,2010,0.5319,132,,,0.5319,0.0,AFR,0.0
SSP1,CRI,2010,0.45447083,188,,,0.45447083,0.0,LAC,0.0
SSP1,CUB,2010,0.27,192,,,0.27,0.0,LAC,0.0
SSP1,CYP,2010,0.3263,196,,,0.3263,0.0,EUR,0.0
SSP1,CZE,2010,0.26892487,203,,,0.26892487,0.0,EUR,0.0
SSP1,DEU,2010,0.29148983,276,,,0.29148983,0.0,EUR,0.0
SSP1,DJI,2010,0.50617,262,,,0.50617,0.0,AFR,0.0
SSP1,DNK,2010,0.23685022,208,,,0.23685022,0.0,EUR,0.0
SSP1,DOM,2010,0.51173512,214,,,0.51173512,0.0,LAC,0.0
SSP1,DZA,2010,0.4133,12,,,0.4133,0.0,AFR,0.0
